store_id,cat_id,forecast_28,current_inventory,lead_time,safety_stock,reorder_point,replenishment_qty
CA_1,FOODS,2851.253380669921,2831.4496439938,3,492.68957282484376,9046.449714834607,6215.000070840807
CA_1,HOBBIES,459.1943119247747,458.41377381795206,3,492.68957282484376,1870.2725085991678,1411.8587347812158
CA_1,HOUSEHOLD,770.0381516142467,761.5439638188944,3,492.68957282484376,2802.8040276675843,2041.2917204241407
CA_2,FOODS,1845.5879379012115,1813.049460883678,4,568.9089149946906,7951.260666599536,6138.211205715857
CA_2,HOBBIES,334.06495981359524,330.3718347634228,4,568.9089149946906,1905.1687542490715,1574.8872351723473
CA_2,HOUSEHOLD,838.2080575718446,823.9854159120539,4,568.9089149946906,3921.741145282069,3097.769837933985
CA_3,FOODS,3989.2731767097653,3966.043421992284,5,636.0595034668888,20582.42538701571,16616.38196502343
CA_3,HOBBIES,506.5908442617474,504.8784713559006,5,636.0595034668888,3169.0137247756256,2664.1352534197254
CA_3,HOUSEHOLD,1449.4678663860454,1437.1932319901086,5,636.0595034668888,7883.398835397116,6446.205603407007
CA_4,FOODS,1505.3018674365164,1487.304123808205,5,636.0595034668888,8162.568840649471,6675.264716841267
CA_4,HOBBIES,298.28538600460246,297.0154208460427,5,636.0595034668888,2127.486433489901,1830.5945704596404
CA_4,HOUSEHOLD,385.38431469490854,379.6497973616241,5,636.0595034668888,2562.981076941432,2183.3312795798074
TX_1,FOODS,2000.8237914424744,1987.8930557643357,4,568.9089149946906,8572.204080764588,6584.311025000252
TX_1,HOBBIES,233.83606835260755,224.89388836840254,4,568.9089149946906,1504.2531884051207,1279.561794576207
TX_1,HOUSEHOLD,744.0265365021838,733.8276469397097,4,568.9089149946906,3545.0150610034266,2811.1874140637165
TX_2,FOODS,2649.0265234423764,2641.0146087101252,5,636.0595034668888,13881.19212067877,11240.177511968644
TX_2,HOBBIES,334.9379803230772,334.19511476092543,5,636.0595034668888,2310.7494050822747,1976.688022690967
TX_2,HOUSEHOLD,831.9197266606305,825.711016308018,5,636.0595034668888,4795.658136770041,3969.9471204620236
TX_3,FOODS,2203.522269223607,2191.0729633929523,6,696.7682759287007,13917.901891270343,11726.82892787739
TX_3,HOBBIES,282.02480614300595,277.2985840921988,6,696.7682759287007,2388.9171127867367,2111.779622823259
TX_3,HOUSEHOLD,749.1518335875393,741.371197583649,6,696.7682759287007,5191.679277453936,4450.308079870288
WI_1,FOODS,1853.052670432131,1817.1939228024737,4,568.9089149946906,7981.119596723215,6163.925673920741
WI_1,HOBBIES,344.8405391888382,341.1851373455343,4,568.9089149946906,1948.2710717500431,1607.144530827654
WI_1,HOUSEHOLD,568.4896093458076,555.36243701699,4,568.9089149946906,2842.867352377921,2287.510460893416
WI_2,FOODS,2501.748218184761,2518.259536042032,5,636.0595034668888,13144.800594390694,10626.541058348663
WI_2,HOBBIES,217.5507858756987,194.88047845485377,5,636.0595034668888,1723.8134328453825,1529.2036536281737
WI_2,HOUSEHOLD,748.1132067019466,744.0449321084245,5,636.0595034668888,4376.625536976621,3632.580604868197
WI_3,FOODS,2482.705184285923,2462.0540286969494,6,696.7682759287007,15592.999381644238,13130.94535294729
WI_3,HOBBIES,248.76157457620113,242.5854896630299,6,696.7682759287007,2189.337723385908,1947.097269160477
WI_3,HOUSEHOLD,657.2173983273863,644.4841207500008,6,696.7682759287007,4640.072665893018,3995.588545143017
