store_id,forecast_28,current_inventory,replenishment_qty,optimal_shipment
CA_1,4080.4858442089426,4051.4073816306463,9668.150526046164,9668.1505
CA_2,3017.8609552866515,2967.4067115591547,10810.868278822189,10810.8682
CA_3,5945.331887357557,5908.115125338293,25726.722821850162,25726.7229
CA_4,2188.9715681360276,2163.969342015872,10689.190566880716,10689.1906
TX_1,2978.6863962972657,2946.614591072448,10675.060233640175,10675.0602
TX_2,3815.8842304260843,3800.9207397790683,17186.812655121634,17186.8131
TX_3,3234.698908954152,3209.7427450688,18288.916630570937,18288.9167
WI_1,2766.3828189667765,2713.741497164998,10058.580665641812,10058.580699999999
WI_2,3467.412210762406,3457.18494660531,15788.325316845036,15788.325299999999
WI_3,3388.6841571895106,3349.1236391099796,19073.631167250784,19073.6308
